[2026-09-15T18:05:44.952Z] SOAK STARTED
[2026-09-15T18:05:46.027Z] STATS | QUEUED: 149371 | IMPORTING: 21 | STAGED: 0 | RETRY: 1625 | PUBLISHED_TOTAL: 8525 | AVG_RATE: 0.00/min
[2026-09-15T19:24:06.440Z] SOAK RESUMED
[2026-09-15T19:24:08.214Z] STATS | QUEUED: 148165 | IMPORTING: 32 | STAGED: 0 | RETRY: 3175 | PUBLISHED_TOTAL: 8965 | AVG_RATE: 5.61/min
[2026-09-15T19:24:49.345Z] SOAK METRICS UPGRADED
[2026-09-15T19:24:50.416Z] ERROR: sb.rpc(...).catch is not a function
[2026-09-15T19:25:10.015Z] SOAK METRICS UPGRADED
[2026-09-15T19:25:10.617Z] STATS | QUEUED: 148227 | IMPORTING: 33 | STAGED: 0 | RETRY: 3170 | PUB: 8970 | RATE: 5.60/min | SOURCES: 8 | WORKS: 12 | MANHASTRO: 0
[2026-09-15T19:25:25.529Z] SOAK METRICS UPGRADED
[2026-09-15T19:25:26.048Z] STATS | QUEUED: 148216 | IMPORTING: 33 | STAGED: 0 | RETRY: 3171 | PUB: 8974 | RATE: 5.63/min | SOURCES: 7 | WORKS: 11 | MANHASTRO: 0
[2026-09-15T19:26:08.972Z] SOAK METRICS UPGRADED
[2026-09-15T19:26:09.927Z] STATS | QUEUED: 148301 | IMPORTING: 31 | STAGED: 0 | RETRY: 3173 | PUB: 8978 | RATE: 5.63/min | SOURCES: 8 | WORKS: 12 | MANHASTRO: 0
[2026-09-15T19:31:10.565Z] STATS | QUEUED: 148565 | IMPORTING: 32 | STAGED: 0 | RETRY: 3173 | PUB: 9002 | RATE: 5.58/min | SOURCES: 7 | WORKS: 11 | MANHASTRO: 0
[2026-09-15T19:36:10.745Z] STATS | QUEUED: 149630 | IMPORTING: 32 | STAGED: 0 | RETRY: 3171 | PUB: 9028 | RATE: 5.56/min | SOURCES: 8 | WORKS: 10 | MANHASTRO: 0
[2026-09-15T19:41:10.740Z] STATS | QUEUED: 149571 | IMPORTING: 30 | STAGED: 0 | RETRY: 3173 | PUB: 9051 | RATE: 5.51/min | SOURCES: 8 | WORKS: 13 | MANHASTRO: 0
[2026-09-15T19:46:10.757Z] STATS | QUEUED: 149521 | IMPORTING: 31 | STAGED: 0 | RETRY: 3173 | PUB: 9079 | RATE: 5.52/min | SOURCES: 7 | WORKS: 13 | MANHASTRO: 0
[2026-09-15T19:51:10.868Z] STATS | QUEUED: 149114 | IMPORTING: 33 | STAGED: 0 | RETRY: 3556 | PUB: 9098 | RATE: 5.43/min | SOURCES: 7 | WORKS: 12 | MANHASTRO: 0
[2026-09-15T19:56:10.893Z] STATS | QUEUED: 149104 | IMPORTING: 31 | STAGED: 0 | RETRY: 3576 | PUB: 9126 | RATE: 5.44/min | SOURCES: 6 | WORKS: 13 | MANHASTRO: 0
[2026-09-15T20:01:11.044Z] STATS | QUEUED: 149046 | IMPORTING: 30 | STAGED: 0 | RETRY: 3606 | PUB: 9151 | RATE: 5.42/min | SOURCES: 7 | WORKS: 15 | MANHASTRO: 0
[2026-09-15T20:06:11.325Z] STATS | QUEUED: 149015 | IMPORTING: 31 | STAGED: 0 | RETRY: 3611 | PUB: 9168 | RATE: 5.34/min | SOURCES: 6 | WORKS: 15 | MANHASTRO: 1
[2026-09-15T20:11:10.958Z] STATS | QUEUED: 148943 | IMPORTING: 33 | STAGED: 0 | RETRY: 3616 | PUB: 9198 | RATE: 5.37/min | SOURCES: 6 | WORKS: 13 | MANHASTRO: 0
[2026-09-15T20:16:11.489Z] STATS | QUEUED: 148895 | IMPORTING: 32 | STAGED: 0 | RETRY: 3639 | PUB: 9220 | RATE: 5.33/min | SOURCES: 6 | WORKS: 13 | MANHASTRO: 0
[2026-09-15T20:21:12.668Z] STATS | QUEUED: 148914 | IMPORTING: 31 | STAGED: 0 | RETRY: 3669 | PUB: 9243 | RATE: 5.30/min | SOURCES: 6 | WORKS: 14 | MANHASTRO: 0
[2026-09-15T20:26:11.517Z] STATS | QUEUED: 148991 | IMPORTING: 31 | STAGED: 0 | RETRY: 3669 | PUB: 9267 | RATE: 5.28/min | SOURCES: 6 | WORKS: 15 | MANHASTRO: 0
[2026-09-15T20:31:11.026Z] STATS | QUEUED: 149331 | IMPORTING: 33 | STAGED: 0 | RETRY: 3669 | PUB: 9292 | RATE: 5.27/min | SOURCES: 6 | WORKS: 13 | MANHASTRO: 0
[2026-09-15T20:36:11.300Z] STATS | QUEUED: 149849 | IMPORTING: 32 | STAGED: 0 | RETRY: 3674 | PUB: 9317 | RATE: 5.26/min | SOURCES: 7 | WORKS: 13 | MANHASTRO: 0
[2026-09-15T20:41:10.989Z] STATS | QUEUED: 149806 | IMPORTING: 33 | STAGED: 0 | RETRY: 3704 | PUB: 9340 | RATE: 5.24/min | SOURCES: 6 | WORKS: 14 | MANHASTRO: 0
[2026-09-15T20:46:17.371Z] STATS | QUEUED: 149919 | IMPORTING: 31 | STAGED: 0 | RETRY: 3704 | PUB: 9367 | RATE: 5.24/min | SOURCES: 6 | WORKS: 13 | MANHASTRO: 0
[2026-09-15T20:51:13.954Z] STATS | QUEUED: 150073 | IMPORTING: 21 | STAGED: 0 | RETRY: 3704 | PUB: 9389 | RATE: 5.22/min | SOURCES: 4 | WORKS: 10 | MANHASTRO: 0
[2026-09-15T20:56:17.669Z] STATS | QUEUED: 149976 | IMPORTING: 28 | STAGED: 0 | RETRY: 3754 | PUB: 9406 | RATE: 5.17/min | SOURCES: 6 | WORKS: 10 | MANHASTRO: 0
[2026-09-15T21:02:18.984Z] STATS | QUEUED: 150023 | IMPORTING: 16 | STAGED: 0 | RETRY: 3827 | PUB: 9430 | RATE: 5.13/min | SOURCES: 6 | WORKS: 11 | MANHASTRO: 3
[2026-09-15T21:06:10.459Z] STATS | QUEUED: 150014 | IMPORTING: 27 | STAGED: 0 | RETRY: 3876 | PUB: 9441 | RATE: 5.08/min | SOURCES: 5 | WORKS: 10 | MANHASTRO: 0
[2026-09-15T21:08:57.976Z] SOAK STARTED (T+0 ZERADO)
[2026-09-15T21:18:53.034Z] SOAK STARTED (T+0 ZERADO)
[2026-09-15T21:18:53.871Z] STATS | QUEUED: 149908 | IMPORTING: 20 | STAGED: 0 | RETRY: 3940 | PUB: 9482 | RATE: 0.00/min | SOURCES: 7 | WORKS: 9 | MANHASTRO: 0
[2026-09-15T21:24:01.118Z] STATS | QUEUED: 149887 | IMPORTING: 26 | STAGED: 0 | RETRY: 3935 | PUB: 9510 | RATE: 5.45/min | SOURCES: 7 | WORKS: 8 | MANHASTRO: 0
[2026-09-15T21:28:54.144Z] STATS | QUEUED: 149889 | IMPORTING: 25 | STAGED: 0 | RETRY: 3927 | PUB: 9532 | RATE: 4.99/min | SOURCES: 8 | WORKS: 8 | MANHASTRO: 0
[2026-09-15T21:33:58.156Z] STATS | QUEUED: 149863 | IMPORTING: 18 | STAGED: 0 | RETRY: 3919 | PUB: 9555 | RATE: 4.84/min | SOURCES: 9 | WORKS: 8 | MANHASTRO: 0
[2026-09-15T21:38:56.207Z] STATS | QUEUED: 149724 | IMPORTING: 24 | STAGED: 0 | RETRY: 3989 | PUB: 9572 | RATE: 4.49/min | SOURCES: 8 | WORKS: 10 | MANHASTRO: 0
[2026-09-15T21:45:50.144Z] STATS | QUEUED: null | IMPORTING: null | STAGED: null | RETRY: null | PUB: null | RATE: -351.81/min | SOURCES: 0 | WORKS: 0 | MANHASTRO: 0
[2026-09-15T21:48:54.833Z] STATS | QUEUED: 149764 | IMPORTING: 2 | STAGED: 0 | RETRY: 3996 | PUB: 9586 | RATE: 3.46/min | SOURCES: 2 | WORKS: 0 | MANHASTRO: 0
[2026-09-15T21:53:54.490Z] STATS | QUEUED: 149790 | IMPORTING: 2 | STAGED: 0 | RETRY: 3998 | PUB: 9587 | RATE: 3.00/min | SOURCES: 2 | WORKS: 0 | MANHASTRO: 0
[2026-09-15T21:58:54.339Z] STATS | QUEUED: 150139 | IMPORTING: 2 | STAGED: 0 | RETRY: 3992 | PUB: 9594 | RATE: 2.80/min | SOURCES: 2 | WORKS: 1 | MANHASTRO: 0
[2026-09-15T22:03:54.014Z] STATS | QUEUED: 150317 | IMPORTING: 2 | STAGED: 0 | RETRY: 3982 | PUB: 9604 | RATE: 2.71/min | SOURCES: 1 | WORKS: 1 | MANHASTRO: 0
[2026-09-15T22:08:54.346Z] STATS | QUEUED: 150301 | IMPORTING: 3 | STAGED: 0 | RETRY: 3980 | PUB: 9605 | RATE: 2.46/min | SOURCES: 3 | WORKS: 1 | MANHASTRO: 0
[2026-09-15T22:14:07.731Z] STATS | QUEUED: 150259 | IMPORTING: 2 | STAGED: 0 | RETRY: 3979 | PUB: 9605 | RATE: 2.23/min | SOURCES: 2 | WORKS: 1 | MANHASTRO: 1
[2026-09-15T22:19:52.182Z] STATS | QUEUED: null | IMPORTING: null | STAGED: null | RETRY: null | PUB: null | RATE: -155.48/min | SOURCES: 0 | WORKS: 0 | MANHASTRO: 0
[2026-09-15T22:23:55.020Z] STATS | QUEUED: 150139 | IMPORTING: 4 | STAGED: 0 | RETRY: 3980 | PUB: 9606 | RATE: 1.91/min | SOURCES: 2 | WORKS: 1 | MANHASTRO: 0
